name,amount
105676,1
104607,1
106378,1
105577,1
105575,1
105550,1
104898,1
104925,1
105583,1
104890,1
106421,1
104897,1
106423,1
103898,1
104297,1
104291,1
105376,1
105379,1
105062,1
105065,1
103970,1
104678,1
105643,1
106186,1
105649,1
126094,1
106109,1
105216,1
104926,1
105539,1
105077,1
105166,1
105932,1
104882,1
106415,1
105173,1
126774,1
126952,1
106210,1
105777,1
104545,1
104547,1
105657,1
106401,1
110602,1
106298,1
106058,1
105311,1
104542,1
105992,1
105916,1
105385,1
106121,1
103893,1
106324,1
104655,1
104468,1
105332,1
106045,1
104460,1
106043,1
105227,1
104269,1
105223,1
103607,1
105526,1
100644,1
111797,1
111577,1
111575,1
104527,1
104919,1
105430,1
105589,1
105815,1
104312,1
104999,1
104259,1
132283,1
105023,1
103852,1
134770,1
104252,1
105238,1
104792,1
105449,1
104534,1
104731,1
111460,1
104797,1
105138,1
144895,1
106026,1
104571,1
103333,1
105732,1
111456,1
106044,1
106099,1
126610,1
111200,1
133430,1
111202,1
104745,1
105074,1
111513,1
200282,1
104871,1
104022,1
104180,1
105807,1
105683,1
105357,1
105341,1
106233,1
105041,1
111442,1
104755,1
109739,1
200615,1
106000,1
104198,1
106432,1
110536,1
126207,1
144719,1
105051,1
